id,question,response_options
follow,I follow the weather very closely.,1 = Strongly disagree; 2 = Disagree; 3 = Neither disagree nor agree; 4 = Agree; 5 = Strongly agree
plan_around,I plan my daily routine around the weather.,1 = Strongly disagree; 2 = Disagree; 3 = Neither disagree nor agree; 4 = Agree; 5 = Strongly agree
und_weather,"I don't understand what causes extreme weather events like thunderstorms, tornadoes, and hurricanes.",1 = Strongly disagree; 2 = Disagree; 3 = Neither disagree nor agree; 4 = Agree; 5 = Strongly agree
risk_wind,How do you rate the risk of the following extreme weather events to you and the people in your area? Extreme high winds,1 = No risk; 2 = Low risk; 3 = Moderate risk; 4 = High risk; 5 = Extreme risk
risk_rain,How do you rate the risk of the following extreme weather events to you and the people in your area? Extreme rain storms,1 = No risk; 2 = Low risk; 3 = Moderate risk; 4 = High risk; 5 = Extreme risk
risk_heat,How do you rate the risk of the following extreme weather events to you and the people in your area? Extreme heat waves,1 = No risk; 2 = Low risk; 3 = Moderate risk; 4 = High risk; 5 = Extreme risk
risk_drought,How do you rate the risk of the following extreme weather events to you and the people in your area? Droughts,1 = No risk; 2 = Low risk; 3 = Moderate risk; 4 = High risk; 5 = Extreme risk
risk_cold,How do you rate the risk of the following extreme weather events to you and the people in your area? Extreme cold temperatures,1 = No risk; 2 = Low risk; 3 = Moderate risk; 4 = High risk; 5 = Extreme risk
risk_snow,How do you rate the risk of the following extreme weather events to you and the people in your area? Extreme snow (or ice) storms,1 = No risk; 2 = Low risk; 3 = Moderate risk; 4 = High risk; 5 = Extreme risk
risk_tor,How do you rate the risk of the following extreme weather events to you and the people in your area? Tornadoes,1 = No risk; 2 = Low risk; 3 = Moderate risk; 4 = High risk; 5 = Extreme risk
risk_flood,How do you rate the risk of the following extreme weather events to you and the people in your area? Floods,1 = No risk; 2 = Low risk; 3 = Moderate risk; 4 = High risk; 5 = Extreme risk
risk_hur,How do you rate the risk of the following extreme weather events to you and the people in your area? Hurricanes,1 = No risk; 2 = Low risk; 3 = Moderate risk; 4 = High risk; 5 = Extreme risk
risk_fire,How do you rate the risk of the following extreme weather events to you and the people in your area? Wildfires,1 = No risk; 2 = Low risk; 3 = Moderate risk; 4 = High risk; 5 = Extreme risk
alert_und,"In general, do you understand the difference between watches and warnings?",1 = Definitely no; 2 = Probably no; 3 = Not sure; 4 = Probably yes; 5 = Definitely yes
torwatch,This alert is issued when severe thunderstorms and tornadoes are possible in and near the area. It does not mean that they will occur. It only means they are possible.,1 = Tornado WATCH; 2 = Tornado WARNING; 3 = Don't know
torwarn,"This alert is used when a tornado is imminent. When this alert is issued, seek safe shelter immediately.",1 = Tornado WATCH; 2 = Tornado WARNING; 3 = Don't know
warn_time,"If the National Weather Service issues a tornado WARNING for your area, how much time do you have before the tornado arrives?",1 = Less than 1 hour; 2 = 1 to 24 hours; 3 = 1 to 3 days; 4 = More than 3 days
warn_size,Approximately how large is the area included in an average tornado WARNING?,1 = Around the size of a city; 2 = Around the size of a county; 3 = Around the size of multiple counties; 4 = Around the size of a state; 5 = Around the size of multiple states
watch_time,"If the National Weather Service issues a tornado WATCH for your area, how much time do you have before the tornado arrives?",1 = Less than 1 hour; 2 = 1 to 24 hours; 3 = 1 to 3 days; 4 = More than 3 days
watch_size,Approximately how large is the area included in an average tornado WATCH?,1 = Around the size of a city; 2 = Around the size of a county; 3 = Around the size of multiple counties; 4 = Around the size of a state; 5 = Around the size of multiple states
svr_hail,"To the best of your knowledge, which of the following hazards does the National Weather Service consider when issuing SEVERE THUNDERSTORM WARNINGS? Large hail",0 = No; 1 = Yes
svr_wind,"To the best of your knowledge, which of the following hazards does the National Weather Service consider when issuing SEVERE THUNDERSTORM WARNINGS? High winds",0 = No; 1 = Yes
svr_lightning,"To the best of your knowledge, which of the following hazards does the National Weather Service consider when issuing SEVERE THUNDERSTORM WARNINGS? Lightning",0 = No; 1 = Yes
svr_flood,"To the best of your knowledge, which of the following hazards does the National Weather Service consider when issuing SEVERE THUNDERSTORM WARNINGS? Flooding",0 = No; 1 = Yes
svr_rain,"To the best of your knowledge, which of the following hazards does the National Weather Service consider when issuing SEVERE THUNDERSTORM WARNINGS? Extreme rainfall",0 = No; 1 = Yes
rec_all,I receive all tornado warnings that are issued for my area.,1 = Strongly disagree; 2 = Disagree; 3 = Neither disagree nor agree; 4 = Agree; 5 = Strongly agree
rec_soon,I receive tornado warnings as soon as they are issued for my area.,1 = Strongly disagree; 2 = Disagree; 3 = Neither disagree nor agree; 4 = Agree; 5 = Strongly agree
rec_miss,Sometimes I miss tornado warnings that are issued for my area,1 = Strongly disagree; 2 = Disagree; 3 = Neither disagree nor agree; 4 = Agree; 5 = Strongly agree
rec_area,Sometimes I am not sure if a tornado warning is for my area or a different area.,1 = Strongly disagree; 2 = Disagree; 3 = Neither disagree nor agree; 4 = Agree; 5 = Strongly agree
rec_time,Sometimes I am not sure what time tornado warnings begin and end for my area.,1 = Strongly disagree; 2 = Disagree; 3 = Neither disagree nor agree; 4 = Agree; 5 = Strongly agree
warn_hist,Do you recall having ever received a tornado WARNING for your area?,0 = No; 1 = Yes
warn_when,When did you receive the tornado warning?,1 = Less than 1 month ago; 2 = Between 1 and 3 months ago; 3 = Between 3 and 12 months ago; 4 = Between 1 and 3 years ago; 5 = More than 3 years ago; 6 = I Don't recall
warn_how_br_rad,How did you learn about the tornado warning? Broadcast radio,0 = No; 1 = Yes
warn_how_wx_rad,How did you learn about the tornado warning? Weather radio (National Weather Service radio),0 = No; 1 = Yes
warn_how_tv,How did you learn about the tornado warning? Television,0 = No; 1 = Yes
warn_how_siren,How did you learn about the tornado warning? Siren or other alarm,0 = No; 1 = Yes
warn_how_int,How did you learn about the tornado warning? Internet,0 = No; 1 = Yes
warn_how_soc,How did you learn about the tornado warning? Social media such as Twitter or Facebook,0 = No; 1 = Yes
warn_how_word,"How did you learn about the tornado warning? Word-of-mouth (including telephone or text messages, email, etc.) from family, friends, neighbors, employers, co-workers, etc.",0 = No; 1 = Yes
warn_how_phone,How did you learn about the tornado warning? Automated text or phone notification,0 = No; 1 = Yes
warn_timercv,What time was it when you received the tornado warning?,1 = Between 6am and noon; 2 = Between noon and 6pm; 3 = Between 6pm and midnight; 4 = Between midnight and 6am; 5 = I Don't recall
warn_where,Where were you when you received the tornado warning?,"1 = At home; 2 = At work; 3 = At school; 4 = At a business (such as a store or restaurant); 5 = In a vehicle (such as a car, truck, or bus); 6 = Somewhere else (please specify); 7 = I Don't recall"
warn_iss,Did you receive the tornado warning as soon as it was issued?,0 = No; 1 = Yes; 2 = I Don't recall
warn_sure,Were you sure that the tornado warning was for your area and not a different area?,0 = No; 1 = Yes; 2 = I Don't recall
last_act,What did you do when you got the most recent tornado warning that you remember receiving?,"0 = Nothing; continued my daily activities; 1 = Monitored the situation, but did not move to shelter; 2 = Moved to the most sheltered part of the building, but did not leave the building; 3 = Moved to a specially constructed storm shelter in the building; 4 = Moved to a nearby location or building that provided safer shelter; 5 = Left the building and drove away from the tornado warning area; 6 = Something else (please specify); 7 = I Don't recall"
next_act_night,"If you are at home in the middle of the night and you receive a tornado warning for your area, what do you plan to do?","0 = Nothing; continued my daily activities; 1 = Monitored the situation, but did not move to shelter; 2 = Moved to the most sheltered part of the building, but did not leave the building; 3 = Moved to a specially constructed storm shelter in the building; 4 = Moved to a nearby location or building that provided safer shelter; 5 = Left the building and drove away from the tornado warning area; 6 = Something else (please specify); 7 = I Don't recall"
resp_ignore,Sometimes I ignore tornado warnings that are issued for my area.,1 = Strongly disagree; 2 = Disagree; 3 = Neither disagree nor agree; 4 = Agree; 5 = Strongly agree
resp_prot,I always take protective action when tornado warnings are issued for my area.,1 = Strongly disagree; 2 = Disagree; 3 = Neither disagree nor agree; 4 = Agree; 5 = Strongly agree
resp_busy,Sometimes I am too busy to take protective action when tornado warnings are issued for my area.,1 = Strongly disagree; 2 = Disagree; 3 = Neither disagree nor agree; 4 = Agree; 5 = Strongly agree
resp_unsure,I am not sure what to do when tornado warnings are issued for my area.,1 = Strongly disagree; 2 = Disagree; 3 = Neither disagree nor agree; 4 = Agree; 5 = Strongly agree
mi_fa_should,"In your opinion, how SHOULD forecasters in your area balance the possibility of false alarms vs. the possibility that a tornado will occur without a warning?",1 = Minimize the possibility that a tornado will occur without a warning; 2 = Lean towards limiting the possibility that a tornado will occur without a warning; 3 = Lean towards limiting the possibility of false alarms; 4 = Minimize the possibility of false alarms
mi_fa_do,"In your opinion, how DO forecasters in your area currently balance the possibility of false alarms vs. the possibility that a tornado will occur without a warning?",1 = Minimize the possibility that a tornado will occur without a warning; 2 = Lean towards limiting the possibility that a tornado will occur without a warning; 3 = Lean towards limiting the possibility of false alarms; 4 = Minimize the possibility of false alarms
leadtime_should,"In your opinion, how SHOULD forecasters in your area balance considerations of lead time vs. accuracy?",1 = Maximize lead time; 2 = Lean towards more lead time; 3 = Lean towards more precision/accuracy; 4 = Maximize precision/accuracy
leadtime_do,"In your opinion, how DO forecasters in your area balance considerations of lead time vs. accuracy?",1 = Maximize lead time; 2 = Lean towards more lead time; 3 = Lean towards more precision/accuracy; 4 = Maximize precision/accuracy
uncert_should,"In your opinion, how SHOULD forecasters in your area balance considerations of simplicity vs. more information?",1 = Maximize simplicity ; 2 = Lean towards simplicity; 3 = Lean towards more information; 4 = Maximize information
uncert_do,"In your opinion, how DO forecasters in your area balance considerations of simplicity vs. more information?",1 = Maximize simplicity ; 2 = Lean towards simplicity; 3 = Lean towards more information; 4 = Maximize information
nws_trust,Please indicate your level of trust in information about extreme weather/hurricanes from each of the following organizations and groups: The National Weather Service,1 = No trust; 2 = Low trust; 3 = Moderate trust; 4 = High trust; 5 = Complete trust
lotv_trust,Please indicate your level of trust in information about extreme weather/hurricanes from each of the following organizations and groups: Regional or local TV stations,1 = No trust; 2 = Low trust; 3 = Moderate trust; 4 = High trust; 5 = Complete trust
natv_trust,Please indicate your level of trust in information about extreme weather/hurricanes from each of the following organizations and groups: National TV stations (like the Weather Channel),1 = No trust; 2 = Low trust; 3 = Moderate trust; 4 = High trust; 5 = Complete trust
em_trust,Please indicate your level of trust in information about extreme weather/hurricanes from each of the following organizations and groups: State or local emergency managers,1 = No trust; 2 = Low trust; 3 = Moderate trust; 4 = High trust; 5 = Complete trust
fam_trust,"Please indicate your level of trust in information about extreme weather/hurricanes from each of the following organizations and groups: Family, friends, neighbors, employers, co-workers, etc.",1 = No trust; 2 = Low trust; 3 = Moderate trust; 4 = High trust; 5 = Complete trust
wx_info1,"How much do you, personally, rely on each of the following sources of information about extreme weather/hurricanes? Broadcast radio",1 = Not much; 2 = Little; 3 = Somewhat; 4 = Much; 5 = A great deal
wx_info2,"How much do you, personally, rely on each of the following sources of information about extreme weather/hurricanes? Weather radio (National Weather Service radio)",1 = Not much; 2 = Little; 3 = Somewhat; 4 = Much; 5 = A great deal
wx_info3,"How much do you, personally, rely on each of the following sources of information about extreme weather/hurricanes? Television",1 = Not much; 2 = Little; 3 = Somewhat; 4 = Much; 5 = A great deal
wx_info4,"How much do you, personally, rely on each of the following sources of information about extreme weather/hurricanes? Internet web pages focused on weather forecasts, such as those provided by the National Weather Service",1 = Not much; 2 = Little; 3 = Somewhat; 4 = Much; 5 = A great deal
wx_info5,"How much do you, personally, rely on each of the following sources of information about extreme weather/hurricanes? Social media, such as Twitter or Facebook",1 = Not much; 2 = Little; 3 = Somewhat; 4 = Much; 5 = A great deal
wx_info6,"How much do you, personally, rely on each of the following sources of information about extreme weather/hurricanes? Word-of-mouth (including telephone calls or texts) from family, friends, neighbors, employers, co-workers, etc.",1 = Not much; 2 = Little; 3 = Somewhat; 4 = Much; 5 = A great deal
wx_info7,"How much do you, personally, rely on each of the following sources of information about extreme weather/hurricanes? Automated text or phone notifications",1 = Not much; 2 = Little; 3 = Somewhat; 4 = Much; 5 = A great deal
wx_info8,"How much do you, personally, rely on each of the following sources of information about extreme weather/hurricanes? Outdoor warning sirens",1 = Not much; 2 = Little; 3 = Somewhat; 4 = Much; 5 = A great deal
tor_damage,"If you had to guess, how intense are most tornadoes in [state]?",0 = Light (EF-0); 1 = Moderate(EF-1); 2 = Significant (EF-2); 3 = Severe (EF-3); 4 = Devastating (EF-4); 5 = Incredible (EF-5)
tor_number,"On average, how many tornadoes does [state] get each year?",1 = Less than 5; 2 = Between 5 and 24; 3 = Between 25 and 49; 4 = Between 50 and 100; 5 = More than 100
myth_under,You must be underground or in an aboveground tornado shelter to survive a devastating (EF-4) or incredible (EF-5) tornado [false],0 = False; 1 = True
myth_tall,Tall buildings protect large cities from tornadoes [false],0 = False; 1 = True
myth_mtns,"Mountains, rivers, and lakes do not protect nearby areas from tornadoes",0 = False; 1 = True
myth_brdge,"When driving, you should not take shelter from tornadoes under a bridge or overpass",0 = False; 1 = True
myth_open,"When sheltering in a house from a tornado, you should open all the windows to equalize the pressure inside and outside to prevent the house from exploding",0 = False; 1 = True
probintens,"When thinking about the risk of tornadoes, is probability (the likelihood that a tornado will occur) more important than intensity (the strength and size of the tornado)? Or, is intensity more important than probability?",1 = Probability is much more important than intensity; 2 = Probability is a little more important than intensity; 3 = Probability and intensity are equality important; 4 = Intensity is a little more important than probability; 5 = Intensity is much more important than probability
mob_down,Have you ever downloaded an application (mobile app) of any kind for a smart phone (such as an Android or iPhone)?,0 = No; 1 = Yes
mob_paid,Have you ever paid for an application (mobile app) of any kind for a smart phone (such as an Android or iPhone)?,0 = No; 1 = Yes
mob_paidwx,Have you ever paid for an application (mobile app) that provides information about the weather for a smart phone (such as an Android or iPhone)?,0 = No; 1 = Yes
aff_int,"Imagine, for the moment, that you have just received a warning for your area for severe thunderstorms, tornadoes, hurricanes, or wildfires. How would getting that warning make you feel?) Interested",1 = Not at all; 2 = A little; 3 = Moderately; 4 = Quite a bit; 5 = Extremely
aff_dis,"Imagine, for the moment, that you have just received a warning for your area for severe thunderstorms, tornadoes, hurricanes, or wildfires. How would getting that warning make you feel?) Distressed",1 = Not at all; 2 = A little; 3 = Moderately; 4 = Quite a bit; 5 = Extremely
aff_ecx,"Imagine, for the moment, that you have just received a warning for your area for severe thunderstorms, tornadoes, hurricanes, or wildfires. How would getting that warning make you feel?) Excited",1 = Not at all; 2 = A little; 3 = Moderately; 4 = Quite a bit; 5 = Extremely
aff_ups,"Imagine, for the moment, that you have just received a warning for your area for severe thunderstorms, tornadoes, hurricanes, or wildfires. How would getting that warning make you feel?) Upset",1 = Not at all; 2 = A little; 3 = Moderately; 4 = Quite a bit; 5 = Extremely
aff_sca,"Imagine, for the moment, that you have just received a warning for your area for severe thunderstorms, tornadoes, hurricanes, or wildfires. How would getting that warning make you feel?) Scared",1 = Not at all; 2 = A little; 3 = Moderately; 4 = Quite a bit; 5 = Extremely
aff_ent,"Imagine, for the moment, that you have just received a warning for your area for severe thunderstorms, tornadoes, hurricanes, or wildfires. How would getting that warning make you feel?) Enthusiastic",1 = Not at all; 2 = A little; 3 = Moderately; 4 = Quite a bit; 5 = Extremely
aff_ale,"Imagine, for the moment, that you have just received a warning for your area for severe thunderstorms, tornadoes, hurricanes, or wildfires. How would getting that warning make you feel?) Alert",1 = Not at all; 2 = A little; 3 = Moderately; 4 = Quite a bit; 5 = Extremely
aff_ner,"Imagine, for the moment, that you have just received a warning for your area for severe thunderstorms, tornadoes, hurricanes, or wildfires. How would getting that warning make you feel?) Nervous",1 = Not at all; 2 = A little; 3 = Moderately; 4 = Quite a bit; 5 = Extremely
aff_att,"Imagine, for the moment, that you have just received a warning for your area for severe thunderstorms, tornadoes, hurricanes, or wildfires. How would getting that warning make you feel?) Attentive",1 = Not at all; 2 = A little; 3 = Moderately; 4 = Quite a bit; 5 = Extremely
aff_jit,"Imagine, for the moment, that you have just received a warning for your area for severe thunderstorms, tornadoes, hurricanes, or wildfires. How would getting that warning make you feel?) Jittery",1 = Not at all; 2 = A little; 3 = Moderately; 4 = Quite a bit; 5 = Extremely
aff_act,"Imagine, for the moment, that you have just received a warning for your area for severe thunderstorms, tornadoes, hurricanes, or wildfires. How would getting that warning make you feel?) Active",1 = Not at all; 2 = A little; 3 = Moderately; 4 = Quite a bit; 5 = Extremely
aff_afr,"Imagine, for the moment, that you have just received a warning for your area for severe thunderstorms, tornadoes, hurricanes, or wildfires. How would getting that warning make you feel?) Afraid",1 = Not at all; 2 = A little; 3 = Moderately; 4 = Quite a bit; 5 = Extremely
do_right,"On a scale from zero to ten, where zero means none of the time and ten means all of the time, how much of the time do you trust the federal government in Washington to do what is right for the American people?",0 = None of the time; 10 = All of the time
state_gov,"On the same scale from zero to ten, how much of the time do you trust state government to do what is right for the people in [state]?",0 = None of the time; 10 = All of the time
loc_gov,"Again, on the same scale, how much of the time do you trust your county and local governments to do what is right for you and your fellow citizens in your local area?",0 = None of the time; 10 = All of the time
pol_party,With which political party do you most identify?,1 = Democratic party; 2 = Republican party (or GOP); 3 = Independent; 4 = Other (please specify)
pol_ideol,"On a scale of political ideology, individuals can be arranged from strongly liberal to strongly conservative. Which of the following categories best describes your views?",1 = Strongly liberal; 2 = Liberal; 3 = Slightly liberal; 4 = Middle of the road; 5 = Slightly conservative; 6 = Conservative; 7 = Strongly conservative
oft_twit,About how often do you use Twitter?,0 = Never; 1 = Less than once a month; 2 = Several times a month; 3 = About once a week; 4 = Several times a week; 5 = Once or twice most days; 6 = Several times almost every day
oft_FB,About how often do you use Facebook?,0 = Never; 1 = Less than once a month; 2 = Several times a month; 3 = About once a week; 4 = Several times a week; 5 = Once or twice most days; 6 = Several times almost every day
tor_watchwarn_und,How would you rate your understanding of tornado watches and warnings?,1 = Poor; 2 = Fair; 3 = Good; 4 = Very good; 5 = Excellent
tor_map_und,"Forecasters, websites, and phone applications often use maps to display tornado watches and warnings. How would you rate your understanding of maps?",1 = Poor; 2 = Fair; 3 = Good; 4 = Very good; 5 = Excellent
tor_radar_und,"Forecasters, websites, and phone applications also use radar images to communicate tornado risk. How would you rate your understanding of radar images?",1 = Poor; 2 = Fair; 3 = Good; 4 = Very good; 5 = Excellent
svr_watchwarn_und,How would you rate your understanding of severe thunderstorm WATCHES and WARNINGS?,1 = Poor; 2 = Fair; 3 = Good; 4 = Very good; 5 = Excellent
rec_most,I receive most tornado warnings that are issued for my area.,1 = Strongly disagree; 2 = Disagree; 3 = Neither disagree nor agree; 4 = Agree; 5 = Strongly agree
rec_sleep,How confident are you that you would receive tornado warnings in the following situations? If you are sleeping?,1 = Not at all confident; 2 = Not very confident; 3 = Somewhat confident; 4 = Very confident; 5 = Extremely confident
rec_driving,How confident are you that you would receive tornado warnings in the following situations? If you are in the car?,1 = Not at all confident; 2 = Not very confident; 3 = Somewhat confident; 4 = Very confident; 5 = Extremely confident
rec_work,How confident are you that you would receive tornado warnings in the following situations? If you are at work or school?,1 = Not at all confident; 2 = Not very confident; 3 = Somewhat confident; 4 = Very confident; 5 = Extremely confident
rec_store,How confident are you that you would receive tornado warnings in the following situations? If you are at the store?,1 = Not at all confident; 2 = Not very confident; 3 = Somewhat confident; 4 = Very confident; 5 = Extremely confident
